"Timestamp","Modello","Località","Regione","Domanda","Vincitore"
"2025-05-15 17:21:58","github","Ivrea","Piemonte","Quale inquinante tra PM2.5, NO2 e O3 presenta il maggiore rischio per il sistema cardiovascolare ?","RAG+LLM"
"2025-05-15 17:24:42","github","Ivrea","Piemonte","Riesci a darmi delle informazioni aggiutive per ogni inquinante che è stato analizzato?","RAG+LLM"
"2025-05-15 17:29:52","github","Torino","Piemonte","Quali sono le evidenze scientifiche sulla relazione tra esposizione a PM2.5 e l'insorgenza di patolo...","LLM"
"2025-05-16 11:01:36","cohere","Ivrea","Piemonte","Quali sono le tecnologie più promettenti per il monitoraggio in tempo reale degli inquinanti atmosfe...","RAG+LLM"
"2025-05-16 11:11:23","cohere","Ivrea","Piemonte","Come influiscono i diversi modelli di pianificazione urbana sulle concentrazioni di NO2 e PM10 nelle...","LLM"
"2025-05-16 11:13:10","cohere","Ivrea","Piemonte","Riesci a darmi delle informazioni aggiutive per ogni inquinante che è stato analizzato?","RAG+LLM"
"2025-05-16 11:20:00","cohere","Ivrea","Piemonte","Come si differenziano gli impatti sulla salute dell'esposizione a breve termine rispetto a quella cr...","RAG+LLM"
"2025-05-16 11:26:27","cohere","Ivrea","Piemonte","Quali sono le evidenze scientifiche sulla relazione tra esposizione a PM2.5 e l'insorgenza di patolo...","LLM"
"2025-05-16 11:30:19","cohere","Ivrea","Piemonte","Quali sono le tecnologie più promettenti per il monitoraggio in tempo reale degli inquinanti atmosfe...","RAG+LLM"
"2025-05-21 09:17:41","github","Castellamonte","Piemonte","Riesci a darmi delle informazioni aggiutive per ogni inquinante che è stato analizzato?","RAG+LLM"
"2025-05-21 09:21:28","cohere","Chivasso","Piemonte","Quale inquinante tra PM2.5, NO2 e O3 presenta il maggiore rischio per il sistema cardiovascolare ?","RAG+LLM"
"2025-05-21 09:23:39","cohere","Chivasso","Piemonte","Come si differenziano gli impatti sulla salute dell'esposizione a breve termine rispetto a quella cr...","RAG+LLM"
"2025-05-21 09:25:36","cohere","Chivasso","Piemonte","Allora voglio che mi dai un report basati su qualche documentazione della wwf per la qualità dell'ar...","LLM"
"2025-05-21 09:30:46","cohere","Chivasso","Piemonte","che azioni ha intrapreso l'EU per combattere l'inquinamneto atmosferico basato sulle relazioni speci...","LLM"
"2025-05-21 09:33:51","cohere","Chivasso","Piemonte","can you explain me this ""the (enhanced) role of modelling in the AAQD?""","RAG+LLM"
"2025-05-21 09:50:27","cohere","Chivasso","Piemonte","nell'articolo di eni scuola parla di come si può limitare l'inquinamento urbano?
","RAG+LLM"
"2025-05-21 10:02:11","cohere","Chivasso","Piemonte","can you explain me this ""the (enhanced) role of modelling in the AAQD?""","RAG+LLM"
"2025-05-21 10:13:37","cohere","Biella","Piemonte","Come influiscono i diversi modelli di pianificazione urbana sulle concentrazioni di NO2 e PM10 nelle...","LLM"
"2025-05-23 12:02:24","github","Ivrea","Piemonte","Quale inquinante tra PM2.5, NO2 e O3 presenta il maggiore rischio per il sistema cardiovascolare ?","LLM"
